dx,dy,dz,eye
0.937241,-0.135375,0.321330,left
0.959646,-0.123131,0.252819,left
0.974114,-0.117377,0.193194,left
0.987117,-0.098030,0.126452,left
0.992297,-0.108381,0.059997,left
0.994982,-0.099414,-0.011311,left
0.989097,-0.127586,-0.073551,left
0.862052,-0.123934,0.491433,left
0.898371,-0.088496,0.430230,left
0.928659,-0.066791,0.364873,left
0.954353,-0.050068,0.294455,left
0.974067,-0.058723,0.218507,left
0.988945,-0.032464,0.144684,left
0.996216,-0.044652,0.074571,left
0.999514,-0.031158,0.000214,left
0.997901,-0.023702,-0.060267,left
0.989790,-0.070634,-0.123802,left
0.985154,-0.008435,-0.171465,left
0.973398,-0.066534,-0.219247,left
0.956027,-0.071882,-0.284335,left
0.969634,-0.113363,-0.216699,left
0.950188,-0.162763,-0.265802,left
0.937494,-0.023623,-0.347198,left
0.913342,-0.050349,-0.404069,left
0.908556,-0.136607,-0.394797,left
0.909418,0.028836,-0.414881,left
0.907911,-0.147101,0.392504,left
0.929878,0.302351,-0.209548,left
0.880336,-0.194020,-0.432856,left
0.888893,-0.095129,-0.448129,left
0.883038,-0.012188,-0.469143,left
0.853426,-0.139604,-0.502170,left
0.817394,-0.176922,-0.548239,left
0.818281,-0.093112,-0.567226,left
0.810902,-0.013802,-0.585020,left
0.759928,-0.050974,-0.648005,left
0.708281,-0.033257,-0.705146,left
0.655841,-0.116361,-0.745877,left
0.720662,-0.132374,-0.680532,left
0.591213,-0.108752,-0.799150,left
0.631012,-0.018710,-0.775547,left
0.549112,-0.009959,-0.835690,left
0.435326,-0.013175,-0.900177,left
0.773954,-0.151130,-0.614943,left
0.849547,-0.057894,-0.524327,left
0.484127,-0.108409,-0.868256,left
0.380691,-0.100204,-0.919257,left
0.283956,-0.090152,-0.954590,left
0.336465,-0.021020,-0.941461,left
0.247292,-0.022364,-0.968683,left
0.155195,-0.033589,-0.987313,left
0.102859,0.030382,-0.994232,left
0.200293,0.051044,-0.978405,left
0.297229,0.059657,-0.952941,left
0.389039,0.076142,-0.918069,left
0.505268,0.071171,-0.860023,left
0.590514,0.068390,-0.804124,left
0.684818,0.048443,-0.727103,left
0.750345,0.023129,-0.660641,left
0.882883,-0.030578,0.468597,left
0.840201,-0.058726,0.539085,left
0.794134,-0.090655,0.600943,left
0.763159,-0.026537,0.645666,left
0.691570,-0.056851,0.720069,left
0.657636,-0.010239,0.753266,left
0.595568,-0.044632,0.802064,left
0.525224,-0.012060,0.850879,left
0.461019,0.020060,0.887163,left
0.544396,0.083029,0.834709,left
0.601328,0.032601,0.798337,left
0.664645,0.100271,0.740400,left
0.706242,0.064849,0.704994,left
0.772884,0.082563,0.629153,left
0.810010,0.006865,0.586375,left
0.861469,0.030616,0.506887,left
0.824417,0.107906,0.555601,left
0.861134,0.129754,0.491540,left
0.896755,0.065138,0.437707,left
0.915298,0.003685,0.402760,left
0.926031,0.101491,0.363547,left
0.944581,0.022261,0.327523,left
0.951896,0.103727,0.288330,left
0.967985,0.036753,0.248304,left
0.970801,0.113181,0.211506,left
0.985050,0.040234,0.167505,left
0.985737,0.114873,0.122992,left
0.994398,0.030401,0.101233,left
0.991287,0.122683,0.047950,left
0.998551,0.049289,0.021597,left
0.994168,0.102794,-0.032602,left
0.998374,0.038678,-0.041868,left
0.990295,0.098497,-0.098052,left
0.992943,0.031745,-0.114267,left
0.982384,0.088280,-0.164707,left
0.973579,0.044005,-0.224070,left
0.957816,0.007748,-0.287277,left
0.949805,0.112520,-0.291907,left
0.960341,0.153908,-0.232503,left
0.901179,0.121434,-0.416088,left
0.843584,0.038956,-0.535582,left
0.827935,0.131122,-0.545280,left
0.794292,0.071181,-0.603352,left
0.872968,0.085446,-0.480235,left
0.724225,0.124168,-0.678292,left
0.652941,0.139492,-0.744453,left
0.702709,0.208786,-0.680153,left
0.773142,0.164975,-0.612400,left
0.801429,0.224665,-0.554290,left
0.824736,0.278350,-0.492272,left
0.858483,0.169672,-0.483961,left
0.877521,0.228112,-0.421809,left
0.915142,0.185608,-0.357862,left
0.891473,0.289365,-0.348632,left
0.936321,0.210147,-0.281319,left
0.913229,0.299963,-0.275746,left
0.947232,0.239061,-0.213546,left
0.934800,0.330669,-0.129639,left
0.962001,0.228649,-0.149247,left
0.973076,0.172173,-0.153229,left
0.982747,0.165640,-0.082295,left
0.962351,0.261892,-0.072750,left
0.935041,0.350573,-0.052878,left
0.907521,0.408688,-0.096848,left
0.862646,0.479198,-0.161896,left
0.900077,0.395130,-0.183665,left
0.894113,0.364368,-0.260382,left
0.851198,0.461886,-0.249245,left
0.837134,0.435452,-0.331040,left
0.862478,0.368237,-0.347178,left
0.845433,0.333370,-0.417262,left
0.817416,0.403868,-0.410756,left
0.779275,0.389117,-0.491241,left
0.763249,0.336313,-0.551674,left
0.702770,0.370220,-0.607495,left
0.739660,0.274375,-0.614509,left
0.668406,0.300872,-0.680228,left
0.608863,0.236169,-0.757305,left
0.505669,0.258213,-0.823180,left
0.457757,0.339362,-0.821761,left
0.561914,0.327872,-0.759442,left
0.619864,0.397609,-0.676518,left
0.658942,0.452400,-0.600941,left
0.691618,0.493965,-0.526937,left
0.730709,0.427266,-0.532455,left
0.750135,0.462570,-0.472574,left
0.710348,0.540579,-0.450756,left
0.738875,0.558675,-0.376757,left
0.778270,0.490544,-0.391999,left
0.794862,0.522320,-0.308831,left
0.752132,0.592857,-0.287781,left
0.808106,0.542222,-0.230132,left
0.815268,0.561402,-0.142009,left
0.858987,0.506371,-0.075698,left
0.820784,0.569187,-0.048374,left
0.757384,0.642589,-0.115968,left
0.692207,0.718405,-0.068869,left
0.697616,0.696767,-0.166875,left
0.686030,0.676131,-0.268719,left
0.622323,0.718547,-0.310489,left
0.679294,0.644803,-0.350414,left
0.607620,0.682242,-0.406626,left
0.651612,0.617628,-0.440383,left
0.580506,0.653758,-0.485401,left
0.645721,0.570548,-0.507463,left
0.564491,0.599703,-0.567192,left
0.617521,0.525989,-0.584811,left
0.569989,0.490281,-0.659346,left
0.519423,0.557733,-0.647405,left
0.469444,0.503790,-0.725133,left
0.504495,0.429681,-0.748905,left
0.402356,0.433271,-0.806465,left
0.360967,0.329646,-0.872374,left
0.312804,0.417941,-0.852924,left
0.362935,0.500488,-0.785996,left
0.428996,0.574868,-0.696770,left
0.459124,0.630118,-0.626224,left
0.490889,0.682133,-0.541962,left
0.518313,0.716269,-0.467237,left
0.530412,0.761729,-0.372065,left
0.556034,0.781166,-0.283911,left
0.545570,0.817660,-0.183809,left
0.624058,0.768511,-0.141216,left
0.550317,0.827842,-0.108759,left
0.640018,0.767413,-0.038137,left
0.490275,0.869660,-0.057637,left
0.385356,0.915480,-0.115745,left
0.469642,0.870136,-0.149330,left
0.464880,0.851173,-0.243702,left
0.379059,0.901662,-0.208134,left
0.375677,0.875993,-0.302496,left
0.452476,0.821911,-0.346016,left
0.351635,0.849925,-0.392403,left
0.444736,0.784099,-0.432896,left
0.345812,0.810483,-0.472790,left
0.316522,0.759374,-0.568475,left
0.394562,0.696102,-0.599802,left
0.274005,0.717281,-0.640648,left
0.364475,0.638430,-0.677913,left
0.248037,0.640103,-0.727149,left
0.300821,0.574931,-0.760895,left
0.253628,0.486186,-0.836239,left
0.198597,0.407906,-0.891163,left
0.143244,0.467884,-0.872104,left
0.187707,0.567042,-0.802016,left
0.154591,0.696739,-0.700469,left
0.194221,0.771930,-0.605311,left
0.235151,0.822397,-0.518042,left
0.244571,0.868609,-0.430933,left
0.169416,0.897984,-0.406108,left
0.174468,0.934542,-0.310147,left
0.262787,0.900354,-0.346852,left
0.287372,0.923731,-0.253254,left
0.194538,0.956421,-0.217747,left
0.286508,0.941992,-0.174827,left
0.192453,0.972147,-0.133762,left
0.290014,0.953511,-0.081905,left
0.324462,0.467207,0.822461,left
0.981302,0.192050,-0.012765,left
0.961432,0.274597,0.015626,left
0.903721,0.427901,-0.013729,left
0.862449,0.505807,0.018460,left
0.748664,0.662757,-0.015987,left
0.702978,0.710903,0.020975,left
0.554440,0.832224,0.000419,left
0.403503,0.914749,-0.020504,left
0.198443,0.979079,-0.045002,left
0.101610,0.990247,-0.095321,left
0.101036,0.979005,-0.177031,left
0.082867,0.958827,-0.271633,left
0.058338,0.927003,-0.370490,left
0.055370,0.897531,-0.437460,left
0.152535,0.867521,-0.473434,left
0.020415,0.021460,-0.999561,left
